program	path	ops	state_reduced_ops	dispatch_reduced_ops	edges	string_refs	range	summary	unresolved	family_mix
000	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_000_readable.c	633	591	580	7	0	0xd0ac0..0xd1445	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:580,operand_table_dispatch:43,fixed_or_affine_dispatch:8,long_or_backedge_control:2
001	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_001_readable.c	380	348	333	3	0	0xd3fac..0xd4581	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:333,operand_table_dispatch:42,fixed_or_affine_dispatch:4,long_or_backedge_control:1
002	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_002_readable.c	1080	980	951	8	0	0xd476e..0xd57f4	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:951,operand_table_dispatch:118,fixed_or_affine_dispatch:10,long_or_backedge_control:1
003	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_003_readable.c	313	288	275	3	0	0xd5a12..0xd5ebc	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:275,operand_table_dispatch:34,fixed_or_affine_dispatch:4
004	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_004_readable.c	489	454	444	4	0	0xd718e..0xd790a	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:444,operand_table_dispatch:39,fixed_or_affine_dispatch:5,long_or_backedge_control:1
005	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_005_readable.c	157	145	140	2	0	0xda38f..0xda607	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:140,operand_table_dispatch:14,fixed_or_affine_dispatch:2,long_or_backedge_control:1
006	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_006_readable.c	194	178	172	2	0	0xdac57..0xdaf39	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:172,operand_table_dispatch:19,fixed_or_affine_dispatch:3
007	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_007_readable.c	1024	953	920	8	0	0x11ac5e..0x11bbf4	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:920,operand_table_dispatch:94,fixed_or_affine_dispatch:9,unresolved_dispatch:1
008	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_008_readable.c	188	173	165	3	0	0x11bc28..0x11bf29	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:165,operand_table_dispatch:19,fixed_or_affine_dispatch:3,long_or_backedge_control:1
009	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_009_readable.c	194	178	174	3	0	0x11bf5d..0x11c276	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:174,operand_table_dispatch:15,fixed_or_affine_dispatch:4,long_or_backedge_control:1
010	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_010_readable.c	1823	1685	1634	15	0	0x11c2aa..0x11de59	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:1634,operand_table_dispatch:171,fixed_or_affine_dispatch:17,long_or_backedge_control:1
011	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_011_readable.c	326	304	299	4	0	0x11de9f..0x11e3bb	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:299,operand_table_dispatch:22,fixed_or_affine_dispatch:4,long_or_backedge_control:1
012	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_012_readable.c	632	582	562	5	0	0x11e574..0x11ef0e	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:562,operand_table_dispatch:62,fixed_or_affine_dispatch:7,long_or_backedge_control:1
013	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_013_readable.c	356	332	319	3	0	0x11ef65..0x11f4da	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:319,operand_table_dispatch:31,fixed_or_affine_dispatch:5,long_or_backedge_control:1
014	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_014_readable.c	320	298	288	3	0	0x1209d2..0x120ebe	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:288,operand_table_dispatch:27,fixed_or_affine_dispatch:4,long_or_backedge_control:1
015	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_015_readable.c	642	593	567	7	0	0x1210d6..0x121ada	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:567,operand_table_dispatch:65,fixed_or_affine_dispatch:8,long_or_backedge_control:2
016	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_016_readable.c	319	292	287	3	0	0x121b31..0x12201d	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:287,operand_table_dispatch:28,fixed_or_affine_dispatch:3,long_or_backedge_control:1
017	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_017_readable.c	157	141	136	2	0	0x122074..0x1222ed	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:136,operand_table_dispatch:18,fixed_or_affine_dispatch:2,long_or_backedge_control:1
018	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_018_readable.c	229	213	207	3	0	0x122344..0x1226e6	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;no_exact_string_or_data_ref	obfuscated_table_dispatch:207,operand_table_dispatch:18,fixed_or_affine_dispatch:3,long_or_backedge_control:1
019	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_019_readable.c	258	229	226	2	0	0x122a46..0x122e3c	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	obfuscated_table_dispatch:226,operand_table_dispatch:25,fixed_or_affine_dispatch:6,unresolved_dispatch:1
020	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_020_readable.c	477	438	428	3	1	0x128952..0x12906f	host/environment inventory surface	intent_not_final;external_or_exit_edges_need_semantics	obfuscated_table_dispatch:428,operand_table_dispatch:43,fixed_or_affine_dispatch:6
021	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_021_readable.c	4230	3927	3821	26	1	0x1705a9..0x17452e	threading or synchronization surface	intent_not_final;external_or_exit_edges_need_semantics	obfuscated_table_dispatch:3821,operand_table_dispatch:372,fixed_or_affine_dispatch:37
022	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_c/vm_program_atlas_022_readable.c	698	626	611	5	1	0x176883..0x17731c	control-transfer/native-bridge candidate with no exact side-effect reference yet	intent_not_final	obfuscated_table_dispatch:611,operand_table_dispatch:78,fixed_or_affine_dispatch:8,long_or_backedge_control:1
