section	item	value	note
artifact	handlers_all_path	dumps/vmtail-wide-1m-w16/vm_handlers_pseudocode.c	Generated reconstruction artifact.
artifact	handlers_all_lines	7796	Current line count.
artifact	handlers_all_bytes	586664	Current file size in bytes.
artifact	path_handlers_all_path	dumps/vmtail-wide-1m-w16/vm_path_handlers_pseudocode.c	Generated reconstruction artifact.
artifact	path_handlers_all_lines	12195	Current line count.
artifact	path_handlers_all_bytes	765762	Current file size in bytes.
artifact	path_handlers_frontier_path	dumps/vmtail-wide-1m-w16/vm_path_handlers_frontier_pseudocode.c	Generated reconstruction artifact.
artifact	path_handlers_frontier_lines	301	Current line count.
artifact	path_handlers_frontier_bytes	15989	Current file size in bytes.
artifact	path_frontier_slot_audit_c_path	dumps/vmtail-wide-1m-w16/vm_path_frontier_slot_audit.c	Generated reconstruction artifact.
artifact	path_frontier_slot_audit_c_lines	43	Current line count.
artifact	path_frontier_slot_audit_c_bytes	5697	Current file size in bytes.
artifact	path_frontier_slot_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_path_frontier_slot_audit.tsv	Generated reconstruction artifact.
artifact	path_frontier_slot_audit_tsv_lines	11	Current line count.
artifact	path_frontier_slot_audit_tsv_bytes	4993	Current file size in bytes.
artifact	path_frontier_slot_audit_md_path	dumps/vmtail-wide-1m-w16/vm_path_frontier_slot_audit.md	Generated reconstruction artifact.
artifact	path_frontier_slot_audit_md_lines	24	Current line count.
artifact	path_frontier_slot_audit_md_bytes	1264	Current file size in bytes.
artifact	native_executable_coverage_audit_c_path	dumps/vmtail-wide-1m-w16/vm_native_executable_coverage_audit.c	Generated reconstruction artifact.
artifact	native_executable_coverage_audit_c_lines	4774	Current line count.
artifact	native_executable_coverage_audit_c_bytes	519231	Current file size in bytes.
artifact	native_executable_coverage_audit_tsv_path	dumps/vmtail-wide-1m-w16/vm_native_executable_coverage_audit.tsv	Generated reconstruction artifact.
artifact	native_executable_coverage_audit_tsv_lines	4713	Current line count.
artifact	native_executable_coverage_audit_tsv_bytes	485275	Current file size in bytes.
