kind	section_index	name	vaddr	file_offset	size	type	flags	emitted_data	writable	executable	nobits	text
section	1	.note.gnu.build-id	0x200	0x200	0x24	7	0x2	yes	no	no	no	
section	2	.hash	0x228	0x228	0x97c	5	0x2	yes	no	no	no	
section	3	.gnu.hash	0xba8	0xba8	0x408	1879048182	0x2	yes	no	no	no	
section	4	.dynsym	0xfb0	0xfb0	0x2010	11	0x2	yes	no	no	no	
section	5	.dynstr	0x2fc0	0x2fc0	0x1306	3	0x2	yes	no	no	no	
section	6	.gnu.version	0x42c6	0x42c6	0x2ac	1879048191	0x2	yes	no	no	no	
section	7	.gnu.version_d	0x4578	0x4578	0x38	1879048189	0x2	yes	no	no	no	
section	8	.gnu.version_r	0x45b0	0x45b0	0x170	1879048190	0x2	yes	no	no	no	
section	9	.rela.dyn	0x4720	0x4720	0x19cf8	4	0x2	yes	no	no	no	
section	10	.rela.plt	0x1e418	0x1e418	0x17b8	4	0x42	yes	no	no	no	
section	11	.init	0x1fbd0	0x1fbd0	0x17	1	0x6	no	no	yes	no	
section	12	.plt	0x1fbf0	0x1fbf0	0xfe0	1	0x6	no	no	yes	no	
section	13	.plt.got	0x20bd0	0x20bd0	0x10	1	0x6	no	no	yes	no	
section	14	.text	0x20c00	0x20c00	0x562a50	1	0x6	no	no	yes	no	
section	15	.fini	0x583650	0x583650	0x9	1	0x6	no	no	yes	no	
section	16	.rodata	0x583680	0x583680	0x6d228	1	0x2	yes	no	no	no	
section	17	.stapsdt.base	0x5f08a8	0x5f08a8	0x1	1	0x2	yes	no	no	no	
section	18	.eh_frame_hdr	0x5f08ac	0x5f08ac	0xc35c	1	0x2	yes	no	no	no	
section	19	.eh_frame	0x5fcc08	0x5fcc08	0x3a5a8	1	0x2	yes	no	no	no	
section	20	.gcc_except_table	0x6371b0	0x6371b0	0x50e8	1	0x2	yes	no	no	no	
section	21	.tbss	0x83c360	0x63c360	0x20	8	0x403	no	yes	no	yes	
section	22	.init_array	0x83c360	0x63c360	0xb0	14	0x3	yes	yes	no	no	
section	23	.fini_array	0x83c410	0x63c410	0x10	15	0x3	yes	yes	no	no	
section	24	.data.rel.ro	0x83c420	0x63c420	0xc260	1	0x3	yes	yes	no	no	
section	25	.dynamic	0x848680	0x648680	0x240	6	0x3	yes	yes	no	no	
section	26	.got	0x8488c0	0x6488c0	0x728	1	0x3	yes	yes	no	no	
section	27	.got.plt	0x849000	0x649000	0x800	1	0x3	yes	yes	no	no	
section	28	.data	0x849800	0x649800	0x998	1	0x3	yes	yes	no	no	
section	29	.bss	0x84a1a0	0x64a198	0x8540	8	0x3	no	yes	no	yes	
dispatch_table	-	vm_dispatch_table_raw	0x0	0xc3718	0xb40	-	-	yes	no	yes	no	360 raw qword offsets from embedded .text table
string	5	.dynstr	0x2fc1	0x2fc1	0xe	3	0x2	yes	no	no	no	__gmon_start__
string	5	.dynstr	0x2fd0	0x2fd0	0x5	3	0x2	yes	no	no	no	_fini
string	5	.dynstr	0x2fd6	0x2fd6	0x1b	3	0x2	yes	no	no	no	_ITM_deregisterTMCloneTable
string	5	.dynstr	0x2ff2	0x2ff2	0x19	3	0x2	yes	no	no	no	_ITM_registerTMCloneTable
string	5	.dynstr	0x300c	0x300c	0xe	3	0x2	yes	no	no	no	__cxa_finalize
string	5	.dynstr	0x301b	0x301b	0x10	3	0x2	yes	no	no	no	__stack_chk_fail
string	5	.dynstr	0x302c	0x302c	0x14	3	0x2	yes	no	no	no	__pthread_key_create
string	5	.dynstr	0x3041	0x3041	0xd	3	0x2	yes	no	no	no	clock_gettime
string	5	.dynstr	0x304f	0x304f	0x13	3	0x2	yes	no	no	no	__cxa_guard_acquire
string	5	.dynstr	0x3063	0x3063	0x13	3	0x2	yes	no	no	no	__cxa_guard_release
string	5	.dynstr	0x3077	0x3077	0xc	3	0x2	yes	no	no	no	__cxa_atexit
string	5	.dynstr	0x3084	0x3084	0x7	3	0x2	yes	no	no	no	wmemcpy
string	5	.dynstr	0x308c	0x308c	0x6	3	0x2	yes	no	no	no	wcslen
string	5	.dynstr	0x3093	0x3093	0x12	3	0x2	yes	no	no	no	__cxa_pure_virtual
