program	first_seen_rank	range	rows	blocks	summary	evidence_basis	behavior_tags	confidence	exact_side_effect_categories	role_mix	top_strings	outgoing_targets	incoming_programs	external_or_exit_edges	top_opcodes	state_kind_mix	dispatch_slot_mix	source_c	vmops	dossier	unresolved	next_action
000	10	0xd0ac0..0xd1445	633	7	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			000:6,external_or_exit:1	000:6	1	vmop_018_plus0x3_state_add_const_slot_multi_path:39,vmop_347_plus0x4_state_add_const_slot_multi_path:26,vmop_337_plus0x4_state_add_const_slot_multi_path:25,vmop_340_plus0x4_state_add_const_slot_multi_path:23,vmop_258_plus0x4_state_add_const_slot_multi_path:22,vmop_114_plus0x4_state_add_const_slot_multi_path:21,vmop_066_plus0x3_state_add_const_slot_multi_path:21,vmop_185_plus0x3_state_add_const_slot_multi_path:21,vmop_028_plus0x3_state_add_const_slot_u16_0:19,vmop_064_plus0x4_state_add_const_slot_multi_path:19	state_add_const:593,state_mixed:23,state_const_post:12,state_preserve:3,sampled_long_or_sparse:1,sampled_backedge:1	slot_multi_path:431,slot_mba_stateful:149,slot_u16_0:28,slot_u16_1_sub_const:15,slot_const_or_affine:8,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_000.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_000.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_000.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
001	8	0xd3fac..0xd4581	380	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			001:2,002:1	001:2	0	vmop_114_plus0x4_state_add_const_slot_multi_path:19,vmop_064_plus0x4_state_add_const_slot_multi_path:17,vmop_168_plus0x4_state_add_const_slot_multi_path:15,vmop_028_plus0x3_state_add_const_slot_u16_0:15,vmop_018_plus0x3_state_add_const_slot_multi_path:14,vmop_215_plus0x3_state_mixed_slot_u16_0:14,vmop_340_plus0x4_state_add_const_slot_multi_path:13,vmop_297_plus0x3_state_add_const_slot_multi_path:12,vmop_287_plus0x4_state_add_const_slot_multi_path:12,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:12	state_add_const:351,state_mixed:21,state_const_post:4,state_preserve:2,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:252,slot_mba_stateful:81,slot_u16_0:29,slot_u16_1_sub_const:12,slot_const_or_affine:4,slot_u16_2:1,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_001.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_001.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_001.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
002	9	0xd476e..0xd57f4	1080	8	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			002:7,003:1	002:7,001:1	0	vmop_028_plus0x3_state_add_const_slot_u16_0:51,vmop_018_plus0x3_state_add_const_slot_multi_path:47,vmop_064_plus0x4_state_add_const_slot_multi_path:46,vmop_114_plus0x4_state_add_const_slot_multi_path:44,vmop_340_plus0x4_state_add_const_slot_multi_path:43,vmop_189_plus0x4_state_add_const_slot_mba_stateful:43,vmop_337_plus0x4_state_add_const_slot_multi_path:42,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:39,vmop_258_plus0x4_state_add_const_slot_multi_path:38,vmop_066_plus0x3_state_add_const_slot_multi_path:36	state_add_const:1019,state_mixed:46,state_const_post:10,state_preserve:3,state_formula:1,sampled_backedge:1	slot_multi_path:727,slot_mba_stateful:224,slot_u16_0:79,slot_u16_1_sub_const:39,slot_const_or_affine:10,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_002.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_002.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_002.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
003	13	0xd5a12..0xd5ebc	313	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			003:2,external_or_exit:1	003:2,002:1	1	vmop_347_plus0x4_state_add_const_slot_multi_path:25,vmop_189_plus0x4_state_add_const_slot_mba_stateful:16,vmop_028_plus0x3_state_add_const_slot_u16_0:16,vmop_185_plus0x3_state_add_const_slot_multi_path:15,vmop_064_plus0x4_state_add_const_slot_multi_path:13,vmop_215_plus0x3_state_mixed_slot_u16_0:13,vmop_066_plus0x3_state_add_const_slot_multi_path:12,vmop_018_plus0x3_state_add_const_slot_multi_path:12,vmop_258_plus0x4_state_add_const_slot_multi_path:11,vmop_176_plus0x4_state_add_const_slot_multi_path:10	state_add_const:288,state_mixed:21,state_const_post:4	slot_multi_path:208,slot_mba_stateful:67,slot_u16_0:29,slot_u16_1_sub_const:5,slot_const_or_affine:4	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_003.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_003.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_003.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
004	14	0xd718e..0xd790a	489	4	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			004:3,005:1	004:3	0	vmop_064_plus0x4_state_add_const_slot_multi_path:25,vmop_347_plus0x4_state_add_const_slot_multi_path:22,vmop_066_plus0x3_state_add_const_slot_multi_path:21,vmop_018_plus0x3_state_add_const_slot_multi_path:21,vmop_114_plus0x4_state_add_const_slot_multi_path:21,vmop_337_plus0x4_state_add_const_slot_multi_path:19,vmop_043_plus0x4_state_add_const_slot_mba_stateful:17,vmop_185_plus0x3_state_add_const_slot_multi_path:17,vmop_199_plus0x3_state_add_const_slot_multi_path:16,vmop_028_plus0x3_state_add_const_slot_u16_0:15	state_add_const:461,state_mixed:19,state_const_post:4,state_preserve:3,state_formula:1,sampled_backedge:1	slot_multi_path:339,slot_mba_stateful:105,slot_u16_0:24,slot_u16_1_sub_const:15,slot_const_or_affine:5,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_004.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_004.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_004.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
005	15	0xda38f..0xda607	157	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			005:1,006:1	004:1,005:1	0	vmop_018_plus0x3_state_add_const_slot_multi_path:10,vmop_258_plus0x4_state_add_const_slot_multi_path:8,vmop_114_plus0x4_state_add_const_slot_multi_path:7,vmop_064_plus0x4_state_add_const_slot_multi_path:7,vmop_189_plus0x4_state_add_const_slot_mba_stateful:6,vmop_028_plus0x3_state_add_const_slot_u16_0:6,vmop_199_plus0x3_state_add_const_slot_multi_path:6,vmop_066_plus0x3_state_add_const_slot_multi_path:5,vmop_168_plus0x4_state_add_const_slot_multi_path:5,vmop_347_plus0x4_state_add_const_slot_multi_path:5	state_add_const:143,state_mixed:9,state_const_post:2,state_preserve:1,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:101,slot_mba_stateful:39,slot_u16_0:10,slot_u16_1_sub_const:4,slot_const_or_affine:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_005.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_005.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_005.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
006	16	0xdac57..0xdaf39	194	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			006:1,external_or_exit:1	005:1,006:1	1	vmop_340_plus0x4_state_add_const_slot_multi_path:12,vmop_064_plus0x4_state_add_const_slot_multi_path:12,vmop_018_plus0x3_state_add_const_slot_multi_path:10,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:8,vmop_123_plus0x4_state_add_const_slot_mba_stateful:8,vmop_258_plus0x4_state_add_const_slot_multi_path:8,vmop_347_plus0x4_state_add_const_slot_multi_path:7,vmop_185_plus0x3_state_add_const_slot_multi_path:7,vmop_184_plus0x4_state_add_const_slot_multi_path:7,vmop_215_plus0x3_state_mixed_slot_u16_0:6	state_add_const:182,state_mixed:10,state_const_post:2	slot_multi_path:136,slot_mba_stateful:36,slot_u16_0:11,slot_u16_1_sub_const:8,slot_const_or_affine:3	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_006.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_006.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_006.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
007	3	0x11ac5e..0x11bbf4	1024	8	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			007:7,008:1	007:7	0	vmop_337_plus0x4_state_add_const_slot_multi_path:48,vmop_340_plus0x4_state_add_const_slot_multi_path:43,vmop_189_plus0x4_state_add_const_slot_mba_stateful:39,vmop_066_plus0x3_state_add_const_slot_multi_path:36,vmop_018_plus0x3_state_add_const_slot_multi_path:35,vmop_114_plus0x4_state_add_const_slot_multi_path:33,vmop_185_plus0x3_state_add_const_slot_multi_path:33,vmop_347_plus0x4_state_add_const_slot_multi_path:32,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:32,vmop_215_plus0x3_state_mixed_slot_u16_0:32	state_add_const:951,state_mixed:60,state_const_post:9,state_preserve:3,exact:1	slot_multi_path:689,slot_mba_stateful:231,slot_u16_0:62,slot_u16_1_sub_const:32,slot_const_or_affine:9,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_007.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_007.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_007.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
008	4	0x11bc28..0x11bf29	188	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			008:2,009:1	008:2,007:1	0	vmop_066_plus0x3_state_add_const_slot_multi_path:9,vmop_114_plus0x4_state_add_const_slot_multi_path:8,vmop_064_plus0x4_state_add_const_slot_multi_path:7,vmop_215_plus0x3_state_mixed_slot_u16_0:7,vmop_258_plus0x4_state_add_const_slot_multi_path:7,vmop_028_plus0x3_state_add_const_slot_u16_0:7,vmop_347_plus0x4_state_add_const_slot_multi_path:7,vmop_123_plus0x4_state_add_const_slot_mba_stateful:7,vmop_337_plus0x4_state_add_const_slot_multi_path:7,vmop_333_plus0x4_state_add_const_slot_multi_path:5	state_add_const:170,state_mixed:14,state_const_post:3,sampled_backedge:1	slot_multi_path:116,slot_mba_stateful:49,slot_u16_0:14,slot_u16_1_sub_const:4,slot_const_or_affine:3,slot_u16_2:1,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_008.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_008.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_008.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
009	5	0x11bf5d..0x11c276	194	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			009:2,010:1	009:2,008:1	0	vmop_018_plus0x3_state_add_const_slot_multi_path:9,vmop_347_plus0x4_state_add_const_slot_multi_path:8,vmop_064_plus0x4_state_add_const_slot_multi_path:8,vmop_340_plus0x4_state_add_const_slot_multi_path:7,vmop_333_plus0x4_state_add_const_slot_multi_path:7,vmop_066_plus0x3_state_add_const_slot_multi_path:7,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:7,vmop_297_plus0x3_state_add_const_slot_multi_path:6,vmop_189_plus0x4_state_add_const_slot_mba_stateful:6,vmop_114_plus0x4_state_add_const_slot_multi_path:5	state_add_const:181,state_mixed:9,state_const_post:2,state_preserve:1,sampled_backedge:1	slot_multi_path:125,slot_mba_stateful:49,slot_u16_0:8,slot_u16_1_sub_const:7,slot_const_or_affine:4,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_009.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_009.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_009.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
